title,user_count,word_count,w_label,m_label
映像研には手を出すな!,4755,25410,山型,中くらい
鬼滅の刃 遊郭編,22138,91005,横ばい,多い
進撃の巨人 The Final Season（Part 2）,2746,13890,下降,中くらい
無職転生 〜異世界行ったら本気だす〜（第1期第1クール）,3490,16701,下降,中くらい
かぐや様は告らせたい -ウルトラロマンティック-,2295,13528,下降,中くらい
かぐや様は告らせたい？〜天才たちの恋愛頭脳戦〜,4621,21066,上昇,中くらい
プリンセスコネクト!Re:Dive Season2,6386,24732,山型,低い
パリピ孔明,3731,23156,上昇,中くらい
アサルトリリィ BOUQUET,1786,11583,下降,中くらい
推しが武道館いってくれたら死ぬ,2399,15900,山型,中くらい
ご注文はうさぎですか? BLOOM,2758,14996,山型,中くらい
チェンソーマン,26066,78947,下降,多い
ラブライブ!スーパースター!!（第2期）,7391,31816,下降,低い
吸血鬼すぐ死ぬ,2477,15583,横ばい,中くらい
へやキャン△,3001,19088,下降,中くらい
ワールドトリガー 2ndシーズン,4008,19529,山型,中くらい
無職転生 〜異世界行ったら本気だす〜（第1期第2クール）,3102,15741,横ばい,中くらい
ゆるキャン△ SEASON2,7739,38944,下降,低い
五等分の花嫁∬,7579,28974,横ばい,低い
マギアレコード 魔法少女まどか☆マギカ外伝,5368,24862,下降,低い
ラブライブ!虹ヶ咲学園スクールアイドル同好会（第1期）,4291,21779,横ばい,中くらい
お兄ちゃんはおしまい!,3931,17452,横ばい,中くらい
結城友奈は勇者である -大満開の章-,1677,9905,下降,中くらい
まちカドまぞく 2丁目,2624,13495,横ばい,中くらい
風都探偵,2493,15674,下降,中くらい
ポケットモンスター めざせポケモンマスター,3261,18561,横ばい,中くらい
からかい上手の高木さん3,1795,10380,横ばい,中くらい
じゃんたま PONG☆,3024,19622,上昇,中くらい
ぼっち・ざ・ろっく!,13272,44877,上昇,多い
ポプテピピック TVアニメーション作品第二シリーズ,3577,23264,下降,中くらい
魔女の旅々,2821,14835,山型,中くらい
乙女ゲームの破滅フラグしかない悪役令嬢に転生してしまった…,2202,13550,上昇,中くらい
にじよん あにめーしょん,3655,18976,山型,中くらい
SPY×FAMILY（Season 1 第2クール）,6966,35722,下降,低い
SPY×FAMILY（Season 1 第1クール）,15655,55986,山型,多い
22/7,2032,12159,横ばい,中くらい
アキバ冥途戦争,2837,17418,下降,中くらい
明日ちゃんのセーラー服,1994,12199,横ばい,中くらい
彼女、お借りします（第1期）,2855,14847,山型,中くらい
リコリス・リコイル,15691,56188,上昇,多い
神様になった日,3074,16851,下降,中くらい
その着せ替え人形は恋をする,5689,26573,上昇,低い
ラブライブ!虹ヶ咲学園スクールアイドル同好会（第2期）,6414,28754,山型,低い
