date,count
2022-10-09 00:00:00+00:00,149
2022-10-10 00:00:00+00:00,63
2022-10-11 00:00:00+00:00,78
2022-10-12 00:00:00+00:00,81
2022-10-13 00:00:00+00:00,67
2022-10-14 00:00:00+00:00,46
2022-10-15 00:00:00+00:00,372
2022-10-16 00:00:00+00:00,149
2022-10-17 00:00:00+00:00,56
2022-10-18 00:00:00+00:00,80
2022-10-19 00:00:00+00:00,65
2022-10-20 00:00:00+00:00,56
2022-10-21 00:00:00+00:00,57
2022-10-22 00:00:00+00:00,399
2022-10-23 00:00:00+00:00,169
2022-10-24 00:00:00+00:00,104
2022-10-25 00:00:00+00:00,89
2022-10-26 00:00:00+00:00,71
2022-10-27 00:00:00+00:00,69
2022-10-28 00:00:00+00:00,59
2022-10-29 00:00:00+00:00,401
2022-10-30 00:00:00+00:00,161
2022-10-31 00:00:00+00:00,97
2022-11-01 00:00:00+00:00,108
2022-11-02 00:00:00+00:00,91
2022-11-03 00:00:00+00:00,107
2022-11-04 00:00:00+00:00,96
2022-11-05 00:00:00+00:00,559
2022-11-06 00:00:00+00:00,284
2022-11-07 00:00:00+00:00,179
2022-11-08 00:00:00+00:00,192
2022-11-09 00:00:00+00:00,157
2022-11-10 00:00:00+00:00,163
2022-11-11 00:00:00+00:00,144
2022-11-12 00:00:00+00:00,722
2022-11-13 00:00:00+00:00,391
2022-11-14 00:00:00+00:00,210
2022-11-15 00:00:00+00:00,245
2022-11-16 00:00:00+00:00,182
2022-11-17 00:00:00+00:00,207
2022-11-18 00:00:00+00:00,206
2022-11-19 00:00:00+00:00,725
2022-11-20 00:00:00+00:00,377
2022-11-21 00:00:00+00:00,220
2022-11-22 00:00:00+00:00,205
2022-11-23 00:00:00+00:00,235
2022-11-24 00:00:00+00:00,170
2022-11-25 00:00:00+00:00,192
2022-11-26 00:00:00+00:00,1007
2022-11-27 00:00:00+00:00,501
2022-11-28 00:00:00+00:00,290
2022-11-29 00:00:00+00:00,343
2022-11-30 00:00:00+00:00,307
2022-12-01 00:00:00+00:00,243
2022-12-02 00:00:00+00:00,269
2022-12-03 00:00:00+00:00,838
2022-12-04 00:00:00+00:00,520
2022-12-05 00:00:00+00:00,280
2022-12-06 00:00:00+00:00,308
2022-12-07 00:00:00+00:00,333
2022-12-08 00:00:00+00:00,253
2022-12-09 00:00:00+00:00,264
2022-12-10 00:00:00+00:00,916
2022-12-11 00:00:00+00:00,479
2022-12-12 00:00:00+00:00,305
2022-12-13 00:00:00+00:00,302
2022-12-14 00:00:00+00:00,279
2022-12-15 00:00:00+00:00,329
2022-12-16 00:00:00+00:00,269
2022-12-17 00:00:00+00:00,1167
2022-12-18 00:00:00+00:00,541
2022-12-19 00:00:00+00:00,386
2022-12-20 00:00:00+00:00,371
2022-12-21 00:00:00+00:00,331
2022-12-22 00:00:00+00:00,346
2022-12-23 00:00:00+00:00,592
2022-12-24 00:00:00+00:00,1778
2022-12-25 00:00:00+00:00,810
