期間,時間,放送局,対象地域,備考,タイプ,配信サイト
2020年1月3日 - 3月27日,金曜 20:30 - 21:00,AT-X,日本全域,製作参加 / CS放送 / リピート放送あり,放送,
2020年1月3日 - 3月27日,金曜 22:30 - 23:00,TOKYO MX,東京都,,放送,
2020年1月3日 - 3月27日,金曜 23:00 - 23:30,BS11,日本全域,BS放送 / 『ANIME+』枠,放送,
2020年1月4日 - 3月28日,土曜 0:00 - 0:30（金曜深夜）,KBS京都,京都府,,放送,
2020年1月4日 - 3月28日,土曜 0:00 - 0:30（金曜深夜）,サンテレビ,兵庫県,,放送,
2020年1月4日 - 3月28日,土曜 3:05 - 3:35（金曜深夜）,テレビ愛知,愛知県,,放送,
2020年1月3日 - 3月27日,金曜 22:00 更新,,,,配信,dアニメストア
2020年1月6日 - 3月30日,月曜 更新,,,,配信,AbemaTV
2020年1月10日以降 -,不明,,,,配信,ニコニコ生放送
2020年1月10日以降 -,不明,,,,配信,ニコニコチャンネル
2020年1月10日以降 -,不明,,,,配信,GYAO!
2020年1月10日以降 -,不明,,,,配信,ひかりTV
2020年1月10日以降 -,不明,,,,配信,dアニメストア
2020年1月10日以降 -,不明,,,,配信,FOD
2020年1月10日以降 -,不明,,,,配信,バンダイチャンネル
2020年1月10日以降 -,不明,,,,配信,Hulu
2020年1月10日以降 -,不明,,,,配信,J:COMオンデマンド
2020年1月10日以降 -,不明,,,,配信,ビデオパス
2020年1月10日以降 -,不明,,,,配信,アニメ放題
2020年1月10日以降 -,不明,,,,配信,U-NEXT
2020年1月10日以降 -,不明,,,,配信,Amazonプライム・ビデオ
2020年1月10日以降 -,不明,,,,配信,Rakuten TV
2020年1月10日以降 -,不明,,,,配信,DMM.com
2020年1月10日以降 -,不明,,,,配信,ビデオマーケット
2020年1月10日以降 -,不明,,,,配信,クランクイン！ビデオ
2020年1月10日以降 -,不明,,,,配信,HAPPY!動画
2020年1月10日以降 -,不明,,,,配信,ムービーフルPlus
