期間,時間,放送局,対象地域,備考,タイプ,配信サイト,開始,終了
2023年1月7日 - 4月1日,土曜 23:30 - 日曜 0:00,AT-X,日本全域,CS放送  / 字幕放送[36] / リピート放送あり,放送,,2023-01-07,2023-04-01
2023年1月8日 - 4月2日,日曜 1:30 - 2:00（土曜深夜）,TOKYO MX,東京都,,放送,,2023-01-08,2023-04-02
2023年1月8日 - 4月2日,日曜 1:30 - 2:00（土曜深夜）,BS11,日本全域,BS放送 / 『ANIME+』枠,放送,,2023-01-08,2023-04-02
2023年1月8日,日曜 1:30（土曜深夜） 更新,,,,配信,dアニメストア,2023-01-08,
2023年1月8日,日曜 1:30（土曜深夜） 更新,,,,配信,DMM TV,2023-01-08,
2023年1月13日,金曜 0:00（木曜深夜） 以降順次更新,,,,配信,Amazonプライム・ビデオ,2023-01-13,
2023年1月13日,金曜 0:00（木曜深夜） 以降順次更新,,,,配信,ABEMA,2023-01-13,
2023年1月13日,金曜 0:00（木曜深夜） 以降順次更新,,,,配信,U-NEXT,2023-01-13,
2023年1月13日,金曜 0:00（木曜深夜） 以降順次更新,,,,配信,アニメ放題,2023-01-13,
2023年1月13日,金曜 0:00（木曜深夜） 以降順次更新,,,,配信,J:COMオンデマンド,2023-01-13,
2023年1月13日,金曜 0:00（木曜深夜） 以降順次更新,,,,配信,みるプラス,2023-01-13,
2023年1月13日,金曜 0:00（木曜深夜） 以降順次更新,,,,配信,TELASA,2023-01-13,
2023年1月13日,金曜 0:00（木曜深夜） 以降順次更新,,,,配信,auスマートパスプレミアム,2023-01-13,
2023年1月13日,金曜 0:00（木曜深夜） 以降順次更新,,,,配信,FOD,2023-01-13,
2023年1月13日,金曜 0:00（木曜深夜） 以降順次更新,,,,配信,バンダイチャンネル,2023-01-13,
2023年1月13日,金曜 0:00（木曜深夜） 以降順次更新,,,,配信,Hulu,2023-01-13,
2023年1月13日,金曜 0:00（木曜深夜） 以降順次更新,,,,配信,ひかりTV,2023-01-13,
2023年1月13日,金曜 0:00（木曜深夜） 以降順次更新,,,,配信,GYAO!,2023-01-13,
2023年1月13日,金曜 0:00（木曜深夜） 以降順次更新,,,,配信,ビデオマーケット,2023-01-13,
2023年1月13日,金曜 0:00（木曜深夜） 以降順次更新,,,,配信,music.jp,2023-01-13,
2023年1月13日,金曜 0:00（木曜深夜） 以降順次更新,,,,配信,Google Play/YouTube,2023-01-13,
2023年1月13日,金曜 0:00（木曜深夜） 以降順次更新,,,,配信,HAPPY!動画,2023-01-13,
2023年1月13日,金曜 0:00（木曜深夜） 以降順次更新,,,,配信,iTSCOMオンデマンド,2023-01-13,
2023年1月13日,金曜 0:00（木曜深夜） 以降順次更新,,,,配信,OnGenムービー,2023-01-13,
2023年1月13日,金曜 0:00（木曜深夜） 以降順次更新,,,,配信,ムービーフル,2023-01-13,
2023年1月13日,金曜 0:00（木曜深夜） 以降順次更新,,,,配信,クランクイン！ビデオ,2023-01-13,
