話数,初放送日,シーズン名
-,2022年7月14日,
第1話,2022年10月2日,Season1
第2話,2022年10月9日,Season1
第3話,2022年10月16日,Season1
第4話,2022年10月23日,Season1
第5話,2022年10月30日,Season1
第6話,2022年11月6日,Season1
第7話,2022年11月20日,Season1
第8話,2022年11月27日,Season1
第9話,2022年12月4日,Season1
第10話,2022年12月11日,Season1
第11話,2022年12月25日,Season1
第12話,2023年1月8日,Season1
第13話,2023年4月9日,Season2
第14話,2023年4月16日,Season2
第15話,2023年4月23日,Season2
第16話,2023年4月30日,Season2
第17話,2023年5月7日,Season2
第18話,2023年5月21日,Season2
第19話,2023年5月28日,Season2
第20話,2023年6月4日,Season2
第21話,2023年6月11日,Season2
第22話,2023年6月18日,Season2
