,id,title,tweet_count,positive,neutral,negative,weekly_tweet_user_clusters,mean_tweet_user_clusters
0,2020-10-136,アサルトリリィ BOUQUET,10672,4638,5735,299,下降,少ない
1,2021-01-205,五等分の花嫁∬,22844,12044,10004,796,U型(横ばい),中くらい
2,2022-10-588,チェンソーマン,55358,23465,30500,1393,下降,多い
3,2020-04-63,乙女ゲームの破滅フラグしかない悪役令嬢に転生してしまった…,8436,3685,4479,272,上昇,少ない
4,2020-07-122,彼女、お借りします（第1期）,9839,5745,3716,378,W型(山型),少ない
5,2022-10-582,ぼっち・ざ・ろっく!,41694,12506,26069,3119,上昇,多い
6,2022-04-452,ラブライブ!虹ヶ咲学園スクールアイドル同好会（第2期）,38355,25320,12182,853,W型(山型),中くらい
7,2022-04-446,じゃんたま PONG☆,10666,7092,3388,186,上昇,少ない
8,2021-01-200,ゆるキャン△ SEASON2,26987,13099,13212,676,U型(横ばい),中くらい
9,2023-01-609,にじよん あにめーしょん,17578,12746,4563,269,下降,少ない
10,2021-10-368,無職転生 〜異世界行ったら本気だす〜（第1期第2クール）,10494,3992,5823,679,上昇,少ない
11,2022-04-478,まちカドまぞく 2丁目,13612,4308,8880,424,下降,少ない
12,2022-01-412,からかい上手の高木さん3,12199,7147,4677,375,U型(横ばい),少ない
13,2020-01-3,マギアレコード 魔法少女まどか☆マギカ外伝,20339,7668,11731,940,下降,中くらい
14,2022-10-547,SPY×FAMILY（Season 1 第2クール）,22069,9193,12039,837,下降,中くらい
15,2020-01-10,へやキャン△,8321,4496,3680,145,下降,少ない
16,2020-04-89,かぐや様は告らせたい？〜天才たちの恋愛頭脳戦〜,15017,6817,7158,1042,上昇,少ない
17,2022-01-431,プリンセスコネクト!Re:Dive Season2,20854,12016,8352,486,W型(山型),中くらい
18,2021-10-350,結城友奈は勇者である -大満開の章-,10254,3952,5469,833,U型(横ばい),少ない
19,2020-10-135,魔女の旅々,8297,7710,527,60,W型(山型),少ない
20,2022-07-538,ラブライブ!スーパースター!!（第2期）,45268,29849,13959,1460,U型(横ばい),中くらい
21,2020-01-7,映像研には手を出すな!,11990,6268,5284,438,W型(山型),少ない
22,2022-04-480,かぐや様は告らせたい -ウルトラロマンティック-,9439,3707,5178,554,W型(山型),少ない
23,2021-01-226,無職転生 〜異世界行ったら本気だす〜（第1期第1クール）,10614,4481,5561,572,下降,少ない
24,2020-01-36,22/7,9374,5391,3610,373,上昇,少ない
25,2023-01-641,ポケットモンスター めざせポケモンマスター,11528,5324,5775,429,U型(横ばい),少ない
26,2022-10-552,ポプテピピック TVアニメーション作品第二シリーズ,11852,2513,8757,582,下降,少ない
27,2020-10-147,ラブライブ!虹ヶ咲学園スクールアイドル同好会（第1期）,20150,13106,6567,477,上昇,少ない
28,2020-01-26,推しが武道館いってくれたら死ぬ,6953,4256,2392,305,W型(山型),少ない
29,2022-01-417,その着せ替え人形は恋をする,16149,8197,7534,418,上昇,中くらい
30,2022-08-542,風都探偵,8591,3919,4389,283,下降,少ない
31,2022-01-416,明日ちゃんのセーラー服,5928,3745,2081,102,U型(横ばい),少ない
32,2020-10-172,ご注文はうさぎですか? BLOOM,14830,6355,7972,503,W型(山型),少ない
33,2020-10-173,神様になった日,8768,4271,3904,593,下降,少ない
34,2023-01-605,お兄ちゃんはおしまい!,16973,6723,9514,736,U型(横ばい),少ない
35,2021-10-369,吸血鬼すぐ死ぬ,8244,3546,4342,356,上昇,少ない
36,2021-12-401,鬼滅の刃 遊郭編,64324,31061,30551,2712,上昇,多い
37,2022-10-576,アキバ冥途戦争,11145,2618,7378,1149,U型(横ばい),少ない
38,2022-04-484,SPY×FAMILY（Season 1 第1クール）,34914,15541,18554,819,W型(山型),多い
39,2022-01-423,進撃の巨人 The Final Season（Part 2）,9067,3344,4901,822,下降,少ない
40,2022-07-500,リコリス・リコイル,54687,22486,29438,2763,上昇,多い
41,2022-04-460,パリピ孔明,11363,5733,5301,329,上昇,少ない
42,2021-01-217,ワールドトリガー 2ndシーズン,10293,6650,3266,377,W型(山型),少ない
